Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Timezone Region
5424,Kimbe Airport,Hoskins,Papua New Guinea,HKN,AYHK,-5.462170124,150.4049988,66,10,U,Pacific/Port_Moresby
5425,Kiunga Airport,Kiunga,Papua New Guinea,UNG,AYKI,-6.125710011,141.2819977,88,10,U,Pacific/Port_Moresby
5426,Kikori Airport,Kikori,Papua New Guinea,KRI,AYKK,-7.424379826,144.2500763,50,10,U,Pacific/Port_Moresby
5427,Kerema Airport,Kerema,Papua New Guinea,KMA,AYKM,-7.963610172,145.7709961,10,10,U,Pacific/Port_Moresby
5428,Kavieng Airport,Kavieng,Papua New Guinea,KVG,AYKV,-2.579400063,150.8079987,7,10,U,Pacific/Port_Moresby
5429,Mendi Airport,Mendi,Papua New Guinea,MDU,AYMN,-6.14774,143.656998,5680,10,U,Pacific/Port_Moresby
5430,Momote Airport,Momote,Papua New Guinea,MAS,AYMO,-2.06189,147.423996,12,10,U,Pacific/Port_Moresby
5431,Moro Airport,Moro,Papua New Guinea,MXH,AYMR,-6.363329887,143.2380066,2740,10,U,Pacific/Port_Moresby
5432,Misima Island Airport,Misima Island,Papua New Guinea,MIS,AYMS,-10.6892004,152.8379974,26,10,U,Pacific/Port_Moresby
5433,Tari Airport,Tari,Papua New Guinea,TIZ,AYTA,-5.84499979,142.947998,5500,10,U,Pacific/Port_Moresby
5434,Tabubil Airport,Tabubil,Papua New Guinea,TBG,AYTB,-5.27861,141.225998,1570,10,U,Pacific/Port_Moresby
5435,Tokua Airport,Tokua,Papua New Guinea,RAB,AYTK,-4.340459824,152.3800049,32,10,U,Pacific/Port_Moresby
5436,Vanimo Airport,Vanimo,Papua New Guinea,VAI,AYVN,-2.6926,141.3028,10,10,U,Pacific/Port_Moresby
5437,Wapenamanda Airport,Wapenamanda,Papua New Guinea,WBM,AYWD,-5.643300056,143.8950043,5889,10,U,Pacific/Port_Moresby
5438,Alluitsup Paa Heliport,Alluitsup Paa,Greenland,LLU,BGAP,60.46445,-45.56917,54,-3,E,America/Godthab
5439,Neerlerit Inaat Airport,Neerlerit Inaat,Greenland,CNP,BGCO,70.74310303,-22.65049934,45,-1,E,America/Scoresbysund
5440,Paamiut Heliport,Paamiut,Greenland,JFR,BGFH,61.99219894,-49.66249847,63,-3,E,America/Godthab
5441,Qeqertarsuaq Heliport,Qeqertarsuaq Airport,Greenland,JGO,BGGN,69.25118199,-53.51487637,9,-3,E,America/Godthab
5442,Qaqortoq Heliport,Qaqortoq,Greenland,JJU,BGJH,60.71568416,-46.02991864,53,-3,E,America/Godthab
5443,Maniitsoq Airport,Maniitsoq,Greenland,JSU,BGMQ,65.41249847,-52.93939972,91,-3,E,America/Godthab
5444,Nanortalik Heliport,Nanortalik,Greenland,JNN,BGNN,60.14188398,-45.23297668,17,-3,E,America/Godthab
5445,Narsaq Heliport,Narsaq,Greenland,JNS,BGNS,60.91728273,-46.05992317,83,-3,E,America/Godthab
5446,Qaanaaq Airport,Qaanaaq,Greenland,NAQ,BGQQ,77.48860168,-69.38870239,51,-4,E,America/Thule
5447,Sisimiut Airport,Sisimiut,Greenland,JHS,BGSS,66.95130157,-53.72930145,33,-3,E,America/Godthab
5448,Upernavik Airport,Upernavik,Greenland,JUV,BGUK,72.79019928,-56.13059998,414,-3,E,America/Godthab
5449,Qaarsut Airport,Uummannaq,Greenland,JQA,BGUQ,70.73419952,-52.69620132,289,-3,E,America/Godthab
